ベンダ,GRAPHTEC Corporation
モデル,GL240
ファームウェア,Ver1.55
ソフトウェア, "Ver1.31"
最大CH数,10CH
GS開始CH
WL開始CH,10CH
測定間隔,100ms
測定点数,360533      
トリガ点,0           
開始時刻,2024-05-23,09:12:59
終了時刻,2024-05-23,19:13:55
トリガ時刻,2024-05-23,09:13:02
AC Mode, AC1_2, AC1_2
Logic/Pulse,Off,Off
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位
CH1,CH 1,M,DC,100V,,Off,50.000000,-50.000000,V
CH2,CH 2,M,DC,100V,,Off,50.000000,-50.000000,V
CH3,CH 3,M,DC,100V,,Off,50.000000,-50.000000,V
CH4,CH 4,M,DC,100V,,Off,50.000000,-50.000000,V
CH5,CH 5,M,DC,100V,,Off,50.000000,-50.000000,V
CH6,CH 6,M,DC,100V,,Off,50.000000,-50.000000,V
CH7,CH 7,M,DC,100V,,Off,50.000000,-50.000000,V
CH8,CH 8,M,DC,100V,,Off,50.000000,-50.000000,V
CH9,CH 9,M,DC,100V,,Off,50.000000,-50.000000,V
CH10,CH10,M,DC,100V,,Off,50.000000,-50.000000,V
測定値
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,AlarmOut
NO.,Time,ms,V,V,V,V,V,V,V,V,V,V,A1234567890,A123456789
1,2024-05-23 09:13:02,000,+0.41,+1.52,+0.01,-0.22,-0.02,+0.00,+0.00,+0.01,-0.51,+0.45,LLLLLLLLLL,LLLLLLLLL
2,2024-05-23 09:13:02,100,+0.41,+1.37,+0.01,-0.22,-0.03,+0.00,+0.01,+0.01,-0.51,+0.45,LLLLLLLLLL,LLLLLLLLL
3,2024-05-23 09:13:02,200,+0.40,+1.24,+0.01,-0.23,-0.02,-0.01,+0.01,+0.00,-0.51,+0.44,LLLLLLLLLL,LLLLLLLLL
4,2024-05-23 09:13:02,300,+0.39,+1.10,+0.01,-0.22,-0.03,-0.01,+0.00,+0.01,-0.51,+0.43,LLLLLLLLLL,LLLLLLLLL
5,2024-05-23 09:13:02,400,+0.40,+0.94,+0.01,-0.22,-0.03,-0.01,+0.01,+0.01,-0.51,+0.42,LLLLLLLLLL,LLLLLLLLL
6,2024-05-23 09:13:02,500,+0.39,+0.79,+0.01,-0.22,-0.02,-0.01,+0.00,+0.01,-0.51,+0.42,LLLLLLLLLL,LLLLLLLLL
7,2024-05-23 09:13:02,600,+0.39,+0.65,+0.01,-0.22,-0.02,-0.01,+0.00,+0.01,-0.51,+0.42,LLLLLLLLLL,LLLLLLLLL
8,2024-05-23 09:13:02,700,+0.39,+0.49,+0.01,-0.23,-0.02,-0.01,+0.00,+0.00,-0.51,+0.42,LLLLLLLLLL,LLLLLLLLL
9,2024-05-23 09:13:02,800,+0.39,+0.33,+0.01,-0.23,-0.02,-0.01,+0.00,+0.01,-0.50,+0.41,LLLLLLLLLL,LLLLLLLLL
10,2024-05-23 09:13:02,900,+0.36,+0.17,+0.01,-0.23,-0.03,+0.00,+0.00,+0.01,-0.49,+0.39,LLLLLLLLLL,LLLLLLLLL
11,2024-05-23 09:13:03,000,+0.35,+0.01,+0.01,-0.23,-0.03,-0.01,+0.00,+0.00,-0.49,+0.39,LLLLLLLLLL,LLLLLLLLL
12,2024-05-23 09:13:03,100,+0.33,-0.15,+0.01,-0.22,-0.03,-0.01,+0.00,+0.00,-0.48,+0.39,LLLLLLLLLL,LLLLLLLLL
13,2024-05-23 09:13:03,200,+0.30,-0.30,+0.01,-0.23,-0.02,-0.01,+0.01,+0.01,-0.48,+0.37,LLLLLLLLLL,LLLLLLLLL
14,2024-05-23 09:13:03,300,+0.30,-0.47,+0.01,-0.23,-0.03,-0.01,+0.00,+0.01,-0.48,+0.36,LLLLLLLLLL,LLLLLLLLL
15,2024-05-23 09:13:03,400,+0.29,-0.64,+0.01,-0.22,-0.03,-0.01,+0.00,+0.01,-0.47,+0.35,LLLLLLLLLL,LLLLLLLLL
16,2024-05-23 09:13:03,500,+0.29,-0.81,+0.01,-0.23,-0.02,-0.01,-0.01,+0.01,-0.45,+0.35,LLLLLLLLLL,LLLLLLLLL
17,2024-05-23 09:13:03,600,+0.30,-0.97,+0.01,-0.22,-0.02,-0.01,+0.01,+0.01,-0.45,+0.35,LLLLLLLLLL,LLLLLLLLL
18,2024-05-23 09:13:03,700,+0.29,-1.16,+0.01,-0.22,-0.03,-0.01,+0.00,+0.00,-0.45,+0.34,LLLLLLLLLL,LLLLLLLLL
19,2024-05-23 09:13:03,800,+0.29,-1.31,+0.01,-0.21,-0.03,-0.01,+0.00,+0.01,-0.43,+0.33,LLLLLLLLLL,LLLLLLLLL
20,2024-05-23 09:13:03,900,+0.29,-1.50,+0.01,-0.21,-0.03,-0.01,+0.00,+0.01,-0.42,+0.33,LLLLLLLLLL,LLLLLLLLL
21,2024-05-23 09:13:04,000,+0.29,-1.65,+0.01,-0.21,-0.03,-0.01,+0.00,+0.01,-0.42,+0.32,LLLLLLLLLL,LLLLLLLLL
22,2024-05-23 09:13:04,100,+0.29,-1.82,+0.01,-0.21,-0.02,-0.01,+0.00,+0.01,-0.41,+0.30,LLLLLLLLLL,LLLLLLLLL
23,2024-05-23 09:13:04,200,+0.29,-2.00,+0.01,-0.20,-0.02,-0.01,+0.00,+0.00,-0.40,+0.30,LLLLLLLLLL,LLLLLLLLL
24,2024-05-23 09:13:04,300,+0.27,-2.16,+0.01,-0.20,-0.03,-0.01,+0.00,+0.00,-0.39,+0.29,LLLLLLLLLL,LLLLLLLLL
25,2024-05-23 09:13:04,400,+0.26,-2.36,+0.01,-0.20,-0.03,-0.01,+0.00,+0.01,-0.37,+0.29,LLLLLLLLLL,LLLLLLLLL
26,2024-05-23 09:13:04,500,+0.24,-2.51,+0.01,-0.19,-0.03,-0.01,+0.00,+0.01,-0.36,+0.29,LLLLLLLLLL,LLLLLLLLL
27,2024-05-23 09:13:04,600,+0.24,-2.68,+0.01,-0.19,-0.03,-0.01,+0.00,+0.01,-0.35,+0.28,LLLLLLLLLL,LLLLLLLLL
28,2024-05-23 09:13:04,700,+0.24,-2.85,+0.01,-0.19,-0.03,-0.01,+0.00,+0.01,-0.35,+0.27,LLLLLLLLLL,LLLLLLLLL
29,2024-05-23 09:13:04,800,+0.23,-3.02,+0.01,-0.18,-0.02,-0.01,+0.01,+0.00,-0.34,+0.26,LLLLLLLLLL,LLLLLLLLL
30,2024-05-23 09:13:04,900,+0.24,-3.17,+0.01,-0.18,-0.02,-0.01,+0.00,+0.01,-0.33,+0.26,LLLLLLLLLL,LLLLLLLLL
31,2024-05-23 09:13:05,000,+0.23,-3.31,+0.01,-0.18,-0.02,-0.01,+0.00,+0.01,-0.32,+0.24,LLLLLLLLLL,LLLLLLLLL
32,2024-05-23 09:13:05,100,+0.24,-3.48,+0.01,-0.17,-0.03,-0.01,+0.01,+0.01,-0.30,+0.24,LLLLLLLLLL,LLLLLLLLL
33,2024-05-23 09:13:05,200,+0.23,-3.63,+0.01,-0.17,-0.03,-0.01,+0.00,+0.01,-0.30,+0.24,LLLLLLLLLL,LLLLLLLLL
34,2024-05-23 09:13:05,300,+0.23,-3.75,+0.01,-0.17,-0.02,-0.01,+0.00,+0.01,-0.29,+0.23,LLLLLLLLLL,LLLLLLLLL
35,2024-05-23 09:13:05,400,+0.21,-3.91,+0.01,-0.16,-0.03,-0.01,+0.00,+0.00,-0.28,+0.24,LLLLLLLLLL,LLLLLLLLL
36,2024-05-23 09:13:05,500,+0.21,-4.03,+0.01,-0.16,-0.03,-0.01,+0.00,+0.01,-0.27,+0.22,LLLLLLLLLL,LLLLLLLLL
37,2024-05-23 09:13:05,600,+0.21,-4.17,+0.01,-0.15,-0.02,-0.01,+0.01,+0.01,-0.26,+0.22,LLLLLLLLLL,LLLLLLLLL
38,2024-05-23 09:13:05,700,+0.22,-4.30,+0.01,-0.14,-0.03,-0.01,+0.01,+0.01,-0.25,+0.21,LLLLLLLLLL,LLLLLLLLL
39,2024-05-23 09:13:05,800,+0.21,-4.44,+0.01,-0.14,-0.02,-0.01,+0.00,+0.01,-0.24,+0.21,LLLLLLLLLL,LLLLLLLLL
40,2024-05-23 09:13:05,900,+0.22,-4.57,+0.01,-0.14,-0.02,-0.01,+0.00,+0.00,-0.24,+0.21,LLLLLLLLLL,LLLLLLLLL
41,2024-05-23 09:13:06,000,+0.22,-4.66,+0.01,-0.14,-0.02,-0.01,+0.00,+0.01,-0.23,+0.21,LLLLLLLLLL,LLLLLLLLL
42,2024-05-23 09:13:06,100,+0.23,-4.78,+0.01,-0.14,-0.02,-0.01,+0.01,+0.01,-0.22,+0.21,LLLLLLLLLL,LLLLLLLLL
43,2024-05-23 09:13:06,200,+0.21,-4.87,+0.01,-0.13,-0.03,-0.01,+0.00,+0.01,-0.21,+0.20,LLLLLLLLLL,LLLLLLLLL
44,2024-05-23 09:13:06,300,+0.24,-4.96,+0.01,-0.13,-0.03,-0.01,+0.00,+0.01,-0.21,+0.20,LLLLLLLLLL,LLLLLLLLL
45,2024-05-23 09:13:06,400,+0.22,-5.03,+0.01,-0.12,-0.03,-0.01,+0.00,+0.01,-0.20,+0.19,LLLLLLLLLL,LLLLLLLLL
46,2024-05-23 09:13:06,500,+0.23,-5.13,+0.01,-0.12,-0.03,-0.01,+0.00,+0.01,-0.20,+0.20,LLLLLLLLLL,LLLLLLLLL
47,2024-05-23 09:13:06,600,+0.22,-5.20,+0.01,-0.12,-0.03,-0.01,+0.00,+0.01,-0.19,+0.18,LLLLLLLLLL,LLLLLLLLL
48,2024-05-23 09:13:06,700,+0.23,-5.29,+0.01,-0.12,-0.03,-0.01,+0.00,+0.01,-0.18,+0.18,LLLLLLLLLL,LLLLLLLLL
49,2024-05-23 09:13:06,800,+0.23,-5.37,+0.01,-0.11,-0.03,-0.01,+0.01,+0.00,-0.18,+0.18,LLLLLLLLLL,LLLLLLLLL
50,2024-05-23 09:13:06,900,+0.23,-5.42,+0.01,-0.11,-0.02,-0.01,+0.00,+0.01,-0.17,+0.18,LLLLLLLLLL,LLLLLLLLL
51,2024-05-23 09:13:07,000,+0.23,-5.53,+0.01,-0.11,-0.02,-0.01,+0.00,+0.01,-0.16,+0.18,LLLLLLLLLL,LLLLLLLLL
52,2024-05-23 09:13:07,100,+0.24,-5.57,+0.01,-0.11,-0.03,-0.01,+0.01,+0.01,-0.15,+0.18,LLLLLLLLLL,LLLLLLLLL
53,2024-05-23 09:13:07,200,+0.23,-5.64,+0.01,-0.10,-0.03,-0.01,+0.00,+0.01,-0.15,+0.18,LLLLLLLLLL,LLLLLLLLL
54,2024-05-23 09:13:07,300,+0.23,-5.69,+0.01,-0.10,-0.03,-0.01,+0.00,+0.01,-0.14,+0.18,LLLLLLLLLL,LLLLLLLLL
55,2024-05-23 09:13:07,400,+0.24,-5.73,+0.01,-0.10,-0.03,-0.01,+0.00,+0.01,-0.14,+0.18,LLLLLLLLLL,LLLLLLLLL
56,2024-05-23 09:13:07,500,+0.23,-5.77,+0.01,-0.10,-0.02,-0.01,+0.00,+0.01,-0.14,+0.18,LLLLLLLLLL,LLLLLLLLL
57,2024-05-23 09:13:07,600,+0.24,-5.80,+0.01,-0.10,-0.03,-0.01,+0.00,+0.01,-0.14,+0.17,LLLLLLLLLL,LLLLLLLLL
58,2024-05-23 09:13:07,700,+0.24,-5.83,+0.01,-0.10,-0.03,-0.01,+0.00,+0.01,-0.14,+0.17,LLLLLLLLLL,LLLLLLLLL
59,2024-05-23 09:13:07,800,+0.24,-5.87,+0.01,-0.10,-0.02,-0.01,+0.00,+0.01,-0.13,+0.17,LLLLLLLLLL,LLLLLLLLL
60,2024-05-23 09:13:07,900,+0.24,-5.91,+0.01,-0.09,-0.03,-0.01,+0.01,+0.01,-0.12,+0.17,LLLLLLLLLL,LLLLLLLLL
61,2024-05-23 09:13:08,000,+0.24,-5.94,+0.01,-0.09,-0.03,-0.01,+0.00,+0.01,-0.12,+0.16,LLLLLLLLLL,LLLLLLLLL
62,2024-05-23 09:13:08,100,+0.23,-5.99,+0.01,-0.09,-0.03,-0.01,+0.00,+0.00,-0.12,+0.17,LLLLLLLLLL,LLLLLLLLL
63,2024-05-23 09:13:08,200,+0.24,-6.02,+0.01,-0.08,-0.02,-0.01,+0.00,+0.00,-0.12,+0.16,LLLLLLLLLL,LLLLLLLLL
64,2024-05-23 09:13:08,300,+0.24,-6.05,+0.01,-0.08,-0.02,-0.01,+0.01,+0.01,-0.11,+0.16,LLLLLLLLLL,LLLLLLLLL
65,2024-05-23 09:13:08,400,+0.24,-6.08,+0.01,-0.08,-0.02,-0.01,+0.00,+0.01,-0.11,+0.16,LLLLLLLLLL,LLLLLLLLL
66,2024-05-23 09:13:08,500,+0.24,-6.10,+0.01,-0.07,-0.02,-0.01,+0.00,+0.01,-0.10,+0.16,LLLLLLLLLL,LLLLLLLLL
67,2024-05-23 09:13:08,600,+0.24,-6.13,+0.01,-0.07,-0.03,-0.01,+0.00,+0.01,-0.10,+0.15,LLLLLLLLLL,LLLLLLLLL
68,2024-05-23 09:13:08,700,+0.24,-6.15,+0.01,-0.07,-0.03,-0.01,+0.00,+0.01,-0.10,+0.16,LLLLLLLLLL,LLLLLLLLL
69,2024-05-23 09:13:08,800,+0.24,-6.16,+0.01,-0.07,-0.03,-0.01,+0.01,+0.01,-0.10,+0.15,LLLLLLLLLL,LLLLLLLLL
70,2024-05-23 09:13:08,900,+0.24,-6.19,+0.01,-0.07,-0.03,-0.01,+0.00,+0.00,-0.10,+0.15,LLLLLLLLLL,LLLLLLLLL
71,2024-05-23 09:13:09,000,+0.24,-6.21,+0.01,-0.07,-0.03,-0.01,+0.00,+0.01,-0.10,+0.15,LLLLLLLLLL,LLLLLLLLL
72,2024-05-23 09:13:09,100,+0.24,-6.25,+0.01,-0.07,-0.03,-0.01,+0.01,+0.01,-0.09,+0.15,LLLLLLLLLL,LLLLLLLLL
73,2024-05-23 09:13:09,200,+0.24,-6.27,+0.01,-0.07,-0.02,-0.01,+0.00,+0.01,-0.09,+0.15,LLLLLLLLLL,LLLLLLLLL
74,2024-05-23 09:13:09,300,+0.24,-6.28,+0.01,-0.07,-0.02,-0.01,+0.00,+0.00,-0.09,+0.15,LLLLLLLLLL,LLLLLLLLL
75,2024-05-23 09:13:09,400,+0.24,-6.29,+0.01,-0.07,-0.02,-0.01,+0.00,+0.00,-0.08,+0.15,LLLLLLLLLL,LLLLLLLLL
76,2024-05-23 09:13:09,500,+0.24,-6.32,+0.01,-0.07,-0.03,-0.01,+0.00,+0.01,-0.08,+0.15,LLLLLLLLLL,LLLLLLLLL
77,2024-05-23 09:13:09,600,+0.24,-6.33,+0.01,-0.07,-0.03,-0.01,+0.01,+0.01,-0.09,+0.15,LLLLLLLLLL,LLLLLLLLL
78,2024-05-23 09:13:09,700,+0.24,-6.34,+0.01,-0.07,-0.03,-0.01,+0.00,+0.01,-0.08,+0.15,LLLLLLLLLL,LLLLLLLLL
79,2024-05-23 09:13:09,800,+0.24,-6.35,+0.01,-0.07,-0.03,-0.01,+0.00,+0.01,-0.07,+0.15,LLLLLLLLLL,LLLLLLLLL
80,2024-05-23 09:13:09,900,+0.24,-6.37,+0.01,-0.07,-0.03,+0.00,+0.00,+0.01,-0.07,+0.14,LLLLLLLLLL,LLLLLLLLL
81,2024-05-23 09:13:10,000,+0.24,-6.42,+0.01,-0.06,-0.03,-0.01,+0.00,+0.01,-0.07,+0.15,LLLLLLLLLL,LLLLLLLLL
82,2024-05-23 09:13:10,100,+0.24,-6.40,+0.01,-0.06,-0.03,-0.01,+0.00,+0.01,-0.07,+0.14,LLLLLLLLLL,LLLLLLLLL
83,2024-05-23 09:13:10,200,+0.24,-6.42,+0.01,-0.06,-0.02,-0.01,+0.00,+0.01,-0.07,+0.14,LLLLLLLLLL,LLLLLLLLL
84,2024-05-23 09:13:10,300,+0.25,-6.43,+0.01,-0.06,-0.03,-0.01,+0.00,+0.00,-0.07,+0.15,LLLLLLLLLL,LLLLLLLLL
85,2024-05-23 09:13:10,400,+0.24,-6.44,+0.01,-0.06,-0.03,-0.01,-0.01,+0.01,-0.07,+0.14,LLLLLLLLLL,LLLLLLLLL
86,2024-05-23 09:13:10,500,+0.24,-6.46,+0.01,-0.06,-0.03,-0.01,+0.00,+0.01,-0.07,+0.14,LLLLLLLLLL,LLLLLLLLL
87,2024-05-23 09:13:10,600,+0.25,-6.46,+0.01,-0.06,-0.02,-0.01,+0.01,+0.01,-0.07,+0.14,LLLLLLLLLL,LLLLLLLLL
88,2024-05-23 09:13:10,700,+0.24,-6.48,+0.01,-0.06,-0.03,-0.01,+0.00,+0.01,-0.06,+0.14,LLLLLLLLLL,LLLLLLLLL
89,2024-05-23 09:13:10,800,+0.24,-6.49,+0.01,-0.05,-0.03,-0.01,+0.00,+0.01,-0.06,+0.14,LLLLLLLLLL,LLLLLLLLL
90,2024-05-23 09:13:10,900,+0.24,-6.52,+0.01,-0.05,-0.02,-0.01,+0.00,+0.01,-0.05,+0.14,LLLLLLLLLL,LLLLLLLLL
91,2024-05-23 09:13:11,000,+0.24,-6.51,+0.01,-0.05,-0.03,-0.01,+0.00,+0.01,-0.05,+0.14,LLLLLLLLLL,LLLLLLLLL
92,2024-05-23 09:13:11,100,+0.24,-6.54,+0.01,-0.05,-0.02,+0.00,+0.00,+0.01,-0.05,+0.14,LLLLLLLLLL,LLLLLLLLL
93,2024-05-23 09:13:11,200,+0.24,-6.54,+0.01,-0.05,-0.03,-0.01,+0.00,+0.00,-0.05,+0.14,LLLLLLLLLL,LLLLLLLLL
94,2024-05-23 09:13:11,300,+0.25,-6.55,+0.01,-0.05,-0.03,-0.01,-0.01,+0.01,-0.04,+0.13,LLLLLLLLLL,LLLLLLLLL
95,2024-05-23 09:13:11,400,+0.24,-6.57,+0.01,-0.05,-0.03,-0.01,+0.00,+0.01,-0.04,+0.14,LLLLLLLLLL,LLLLLLLLL
96,2024-05-23 09:13:11,500,+0.25,-6.56,+0.01,-0.05,-0.02,-0.01,+0.00,+0.01,-0.04,+0.14,LLLLLLLLLL,LLLLLLLLL
97,2024-05-23 09:13:11,600,+0.24,-6.59,+0.01,-0.04,-0.02,-0.01,+0.00,+0.01,-0.04,+0.14,LLLLLLLLLL,LLLLLLLLL
98,2024-05-23 09:13:11,700,+0.26,-6.58,+0.01,-0.04,-0.02,-0.01,+0.00,+0.01,-0.04,+0.13,LLLLLLLLLL,LLLLLLLLL
99,2024-05-23 09:13:11,800,+0.24,-6.61,+0.01,-0.04,-0.03,-0.01,+0.00,+0.01,-0.04,+0.13,LLLLLLLLLL,LLLLLLLLL
100,2024-05-23 09:13:11,900,+0.25,-6.62,+0.01,-0.04,-0.02,-0.01,+0.00,+0.01,-0.03,+0.13,LLLLLLLLLL,LLLLLLLLL
101,2024-05-23 09:13:12,000,+0.24,-6.63,+0.01,-0.04,-0.02,-0.01,+0.00,+0.00,-0.03,+0.13,LLLLLLLLLL,LLLLLLLLL
102,2024-05-23 09:13:12,100,+0.25,-6.63,+0.01,-0.04,-0.03,-0.01,+0.00,+0.01,-0.03,+0.13,LLLLLLLLLL,LLLLLLLLL
103,2024-05-23 09:13:12,200,+0.25,-6.65,+0.01,-0.04,-0.03,-0.01,+0.00,+0.01,-0.02,+0.12,LLLLLLLLLL,LLLLLLLLL
104,2024-05-23 09:13:12,300,+0.25,-6.65,+0.01,-0.04,-0.03,-0.01,+0.00,+0.01,-0.02,+0.13,LLLLLLLLLL,LLLLLLLLL
105,2024-05-23 09:13:12,400,+0.26,-6.65,+0.01,-0.03,-0.03,-0.01,+0.00,+0.00,-0.02,+0.13,LLLLLLLLLL,LLLLLLLLL
106,2024-05-23 09:13:12,500,+0.26,-6.66,+0.01,-0.04,-0.02,-0.01,+0.00,+0.01,-0.01,+0.13,LLLLLLLLLL,LLLLLLLLL
107,2024-05-23 09:13:12,600,+0.25,-6.67,+0.01,-0.03,-0.02,-0.01,+0.01,+0.01,-0.01,+0.12,LLLLLLLLLL,LLLLLLLLL
108,2024-05-23 09:13:12,700,+0.25,-6.67,+0.01,-0.04,-0.02,-0.01,+0.00,+0.01,-0.01,+0.12,LLLLLLLLLL,LLLLLLLLL
109,2024-05-23 09:13:12,800,+0.25,-6.68,+0.01,-0.03,-0.02,-0.01,+0.00,+0.01,+0.00,+0.12,LLLLLLLLLL,LLLLLLLLL
110,2024-05-23 09:13:12,900,+0.25,-6.69,+0.01,-0.03,-0.03,-0.01,+0.00,+0.01,+0.01,+0.12,LLLLLLLLLL,LLLLLLLLL
111,2024-05-23 09:13:13,000,+0.25,-6.69,+0.01,-0.03,-0.02,-0.01,+0.00,+0.00,+0.01,+0.12,LLLLLLLLLL,LLLLLLLLL
112,2024-05-23 09:13:13,100,+0.26,-6.69,+0.01,-0.03,-0.03,-0.01,+0.01,+0.01,+0.01,+0.12,LLLLLLLLLL,LLLLLLLLL
113,2024-05-23 09:13:13,200,+0.25,-6.72,+0.01,-0.02,-0.03,-0.02,+0.00,+0.01,+0.01,+0.12,LLLLLLLLLL,LLLLLLLLL
114,2024-05-23 09:13:13,300,+0.25,-6.73,+0.01,-0.02,-0.02,-0.01,+0.01,+0.01,+0.01,+0.12,LLLLLLLLLL,LLLLLLLLL
115,2024-05-23 09:13:13,400,+0.26,-6.73,+0.01,-0.02,-0.02,-0.01,+0.00,+0.00,+0.01,+0.12,LLLLLLLLLL,LLLLLLLLL
116,2024-05-23 09:13:13,500,+0.25,-6.74,+0.01,-0.02,-0.02,-0.01,+0.00,+0.01,+0.01,+0.12,LLLLLLLLLL,LLLLLLLLL
117,2024-05-23 09:13:13,600,+0.25,-6.75,+0.01,-0.02,-0.02,-0.01,+0.00,+0.01,+0.03,+0.11,LLLLLLLLLL,LLLLLLLLL
118,2024-05-23 09:13:13,700,+0.26,-6.75,+0.01,-0.02,-0.03,-0.01,+0.01,+0.01,+0.03,+0.12,LLLLLLLLLL,LLLLLLLLL
119,2024-05-23 09:13:13,800,+0.25,-6.76,+0.01,-0.02,-0.03,-0.01,+0.00,+0.01,+0.04,+0.11,LLLLLLLLLL,LLLLLLLLL
120,2024-05-23 09:13:13,900,+0.25,-6.76,+0.01,-0.01,-0.02,-0.01,+0.00,+0.01,+0.04,+0.11,LLLLLLLLLL,LLLLLLLLL
121,2024-05-23 09:13:14,000,+0.25,-6.77,+0.01,-0.01,-0.03,-0.01,+0.00,+0.01,+0.04,+0.11,LLLLLLLLLL,LLLLLLLLL
122,2024-05-23 09:13:14,100,+0.26,-6.79,+0.01,-0.01,-0.03,-0.01,+0.01,+0.01,+0.04,+0.11,LLLLLLLLLL,LLLLLLLLL
123,2024-05-23 09:13:14,200,+0.24,-6.78,+0.01,-0.01,-0.02,-0.01,-0.01,+0.01,+0.04,+0.10,LLLLLLLLLL,LLLLLLLLL
124,2024-05-23 09:13:14,300,+0.24,-6.79,+0.01,-0.01,-0.02,-0.01,+0.00,+0.00,+0.05,+0.10,LLLLLLLLLL,LLLLLLLLL
125,2024-05-23 09:13:14,400,+0.24,-6.79,+0.01,-0.01,-0.02,-0.01,+0.00,+0.01,+0.06,+0.10,LLLLLLLLLL,LLLLLLLLL
126,2024-05-23 09:13:14,500,+0.25,-6.80,+0.01,+0.00,-0.03,-0.01,+0.01,+0.01,+0.06,+0.10,LLLLLLLLLL,LLLLLLLLL
127,2024-05-23 09:13:14,600,+0.26,-6.81,+0.01,+0.00,-0.03,-0.01,+0.00,+0.01,+0.07,+0.10,LLLLLLLLLL,LLLLLLLLL
128,2024-05-23 09:13:14,700,+0.25,-6.80,+0.01,+0.01,-0.02,-0.01,-0.01,+0.00,+0.07,+0.10,LLLLLLLLLL,LLLLLLLLL
129,2024-05-23 09:13:14,800,+0.26,-6.81,+0.01,+0.01,-0.02,+0.00,+0.00,+0.01,+0.07,+0.10,LLLLLLLLLL,LLLLLLLLL
130,2024-05-23 09:13:14,900,+0.26,-6.82,+0.01,+0.01,-0.02,-0.01,+0.00,+0.00,+0.07,+0.10,LLLLLLLLLL,LLLLLLLLL
131,2024-05-23 09:13:15,000,+0.25,-6.82,+0.01,+0.01,-0.02,-0.01,+0.00,+0.01,+0.09,+0.10,LLLLLLLLLL,LLLLLLLLL
132,2024-05-23 09:13:15,100,+0.25,-6.83,+0.01,+0.01,-0.02,-0.01,+0.00,+0.01,+0.09,+0.10,LLLLLLLLLL,LLLLLLLLL
133,2024-05-23 09:13:15,200,+0.25,-6.83,+0.01,+0.01,-0.02,-0.01,-0.01,+0.01,+0.10,+0.10,LLLLLLLLLL,LLLLLLLLL
134,2024-05-23 09:13:15,300,+0.25,-6.83,+0.01,+0.01,-0.02,-0.01,+0.00,+0.01,+0.10,+0.10,LLLLLLLLLL,LLLLLLLLL
135,2024-05-23 09:13:15,400,+0.26,-6.83,+0.01,+0.02,-0.03,-0.01,+0.00,+0.01,+0.11,+0.09,LLLLLLLLLL,LLLLLLLLL
136,2024-05-23 09:13:15,500,+0.24,-6.84,+0.01,+0.02,-0.03,-0.01,+0.00,+0.01,+0.12,+0.09,LLLLLLLLLL,LLLLLLLLL
137,2024-05-23 09:13:15,600,+0.25,-6.84,+0.01,+0.02,-0.02,-0.01,+0.00,+0.01,+0.12,+0.09,LLLLLLLLLL,LLLLLLLLL
138,2024-05-23 09:13:15,700,+0.25,-6.84,+0.01,+0.03,-0.02,-0.01,+0.00,+0.01,+0.13,+0.09,LLLLLLLLLL,LLLLLLLLL
139,2024-05-23 09:13:15,800,+0.25,-6.84,+0.01,+0.03,-0.02,-0.01,-0.01,+0.01,+0.13,+0.09,LLLLLLLLLL,LLLLLLLLL
140,2024-05-23 09:13:15,900,+0.25,-6.84,+0.01,+0.04,-0.02,-0.01,+0.00,+0.00,+0.14,+0.08,LLLLLLLLLL,LLLLLLLLL
141,2024-05-23 09:13:16,000,+0.25,-6.85,+0.01,+0.04,-0.02,-0.01,+0.00,+0.01,+0.15,+0.08,LLLLLLLLLL,LLLLLLLLL
142,2024-05-23 09:13:16,100,+0.25,-6.85,+0.01,+0.04,-0.02,-0.01,+0.00,+0.00,+0.15,+0.08,LLLLLLLLLL,LLLLLLLLL
143,2024-05-23 09:13:16,200,+0.25,-6.86,+0.01,+0.04,-0.02,-0.02,+0.00,+0.01,+0.15,+0.07,LLLLLLLLLL,LLLLLLLLL
144,2024-05-23 09:13:16,300,+0.26,-6.86,+0.01,+0.04,-0.03,-0.01,+0.00,+0.01,+0.18,+0.07,LLLLLLLLLL,LLLLLLLLL
145,2024-05-23 09:13:16,400,+0.24,-6.86,+0.01,+0.04,-0.03,-0.01,-0.01,+0.01,+0.18,+0.07,LLLLLLLLLL,LLLLLLLLL
146,2024-05-23 09:13:16,500,+0.24,-6.86,+0.01,+0.04,-0.03,-0.01,+0.00,+0.01,+0.18,+0.07,LLLLLLLLLL,LLLLLLLLL
147,2024-05-23 09:13:16,600,+0.25,-6.87,+0.01,+0.04,-0.02,-0.01,+0.00,+0.00,+0.20,+0.07,LLLLLLLLLL,LLLLLLLLL
148,2024-05-23 09:13:16,700,+0.24,-6.87,+0.01,+0.05,-0.02,-0.01,+0.00,+0.01,+0.20,+0.07,LLLLLLLLLL,LLLLLLLLL
149,2024-05-23 09:13:16,800,+0.25,-6.87,+0.01,+0.06,-0.03,-0.01,+0.01,+0.01,+0.21,+0.07,LLLLLLLLLL,LLLLLLLLL
150,2024-05-23 09:13:16,900,+0.24,-6.87,+0.01,+0.06,-0.02,-0.01,+0.00,+0.01,+0.21,+0.07,LLLLLLLLLL,LLLLLLLLL
151,2024-05-23 09:13:17,000,+0.24,-6.87,+0.01,+0.07,-0.02,-0.01,+0.00,+0.01,+0.23,+0.07,LLLLLLLLLL,LLLLLLLLL
